# Baseline generated: 2026-09-25
# Command: go test ./iter -run '^$' -bench . -benchmem -benchtime=5s -count=5 -timeout=30m
# Go: go1.25.0
# GOOS/GOARCH: darwin/arm64
# CPU: Apple M4 Pro
# GOMAXPROCS: 12
# Note: regenerate this baseline on CI hardware once the bench workflow is wired up.
goos: darwin
goarch: arm64
pkg: github.com/purpleclay/conker/iter
cpu: Apple M4 Pro
BenchmarkMapSeq/workers=1-12 	   77170	     76951 ns/op	   18450 B/op	     417 allocs/op
BenchmarkMapSeq/workers=1-12 	   78162	     76998 ns/op	   18448 B/op	     417 allocs/op
BenchmarkMapSeq/workers=1-12 	   77973	     76640 ns/op	   18448 B/op	     417 allocs/op
BenchmarkMapSeq/workers=1-12 	   79525	     76918 ns/op	   18449 B/op	     417 allocs/op
BenchmarkMapSeq/workers=1-12 	   77959	     76669 ns/op	   18448 B/op	     417 allocs/op
BenchmarkMapSeq/workers=12-12         	  106090	     56815 ns/op	   18539 B/op	     417 allocs/op
BenchmarkMapSeq/workers=12-12         	  105849	     57225 ns/op	   18538 B/op	     417 allocs/op
BenchmarkMapSeq/workers=12-12         	  103400	     57493 ns/op	   18538 B/op	     417 allocs/op
BenchmarkMapSeq/workers=12-12         	  101544	     57434 ns/op	   18538 B/op	     417 allocs/op
BenchmarkMapSeq/workers=12-12         	  105531	     57047 ns/op	   18537 B/op	     417 allocs/op
BenchmarkMapSeq/workers=24-12         	  106164	     57629 ns/op	   18634 B/op	     417 allocs/op
BenchmarkMapSeq/workers=24-12         	  105676	     57433 ns/op	   18634 B/op	     417 allocs/op
BenchmarkMapSeq/workers=24-12         	  104503	     58061 ns/op	   18633 B/op	     417 allocs/op
BenchmarkMapSeq/workers=24-12         	   98530	     57914 ns/op	   18633 B/op	     417 allocs/op
BenchmarkMapSeq/workers=24-12         	  102112	     57488 ns/op	   18633 B/op	     417 allocs/op
BenchmarkMapSeqCtx/workers=1-12       	   67993	     87860 ns/op	   18658 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=1-12       	   68749	     87438 ns/op	   18659 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=1-12       	   68994	     87684 ns/op	   18659 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=1-12       	   71224	     87255 ns/op	   18659 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=1-12       	   68091	     87892 ns/op	   18658 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=12-12      	   95716	     60311 ns/op	   18746 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=12-12      	   99532	     61861 ns/op	   18746 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=12-12      	  100135	     61212 ns/op	   18746 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=12-12      	   95462	     60993 ns/op	   18746 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=12-12      	   98880	     61078 ns/op	   18746 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=24-12      	   97184	     60511 ns/op	   18842 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=24-12      	  101930	     59070 ns/op	   18841 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=24-12      	   91656	     61143 ns/op	   18842 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=24-12      	   95701	     58192 ns/op	   18842 B/op	     420 allocs/op
BenchmarkMapSeqCtx/workers=24-12      	   99043	     60858 ns/op	   18841 B/op	     420 allocs/op
BenchmarkMap/impl=Map/workers=1-12    	   76120	     78227 ns/op	   20696 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=1-12    	   77374	     78834 ns/op	   20696 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=1-12    	   75880	     79245 ns/op	   20696 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=1-12    	   75618	     78647 ns/op	   20696 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=1-12    	   75546	     78410 ns/op	   20696 B/op	     411 allocs/op
BenchmarkMap/impl=Collect/workers=1-12         	   76605	     77662 ns/op	   22136 B/op	     426 allocs/op
BenchmarkMap/impl=Collect/workers=1-12         	   75824	     78663 ns/op	   22136 B/op	     426 allocs/op
BenchmarkMap/impl=Collect/workers=1-12         	   75913	     78838 ns/op	   22136 B/op	     426 allocs/op
BenchmarkMap/impl=Collect/workers=1-12         	   75903	     78525 ns/op	   22137 B/op	     426 allocs/op
BenchmarkMap/impl=Collect/workers=1-12         	   76336	     78860 ns/op	   22136 B/op	     426 allocs/op
BenchmarkMap/impl=Map/workers=12-12            	  104818	     57082 ns/op	   20785 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=12-12            	  107674	     56248 ns/op	   20786 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=12-12            	  108392	     55497 ns/op	   20786 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=12-12            	  109396	     55058 ns/op	   20786 B/op	     411 allocs/op
BenchmarkMap/impl=Map/workers=12-12            	  109498	     54657 ns/op	   20786 B/op	     411 allocs/op
