# Baseline generated: 2026-09-23
# Command: go test ./pool -run '^$' -bench . -benchmem -benchtime=5s -count=5
# Go: go1.25.0
# GOOS/GOARCH: darwin/arm64
# CPU: Apple M4 Pro
# GOMAXPROCS: 12
# Note: regenerate this baseline on CI hardware once the bench workflow is wired up.
goos: darwin
goarch: arm64
pkg: github.com/purpleclay/conker/pool
cpu: Apple M4 Pro
BenchmarkPool_Go/workers=1-12             	  177466	     33489 ns/op	    6497 B/op	     302 allocs/op
BenchmarkPool_Go/workers=1-12             	  179254	     33648 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=1-12             	  176778	     33785 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=1-12             	  180093	     33754 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=1-12             	  177740	     33886 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=12-12            	  103626	     58341 ns/op	    6497 B/op	     302 allocs/op
BenchmarkPool_Go/workers=12-12            	   97712	     61519 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=12-12            	   98772	     60331 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=12-12            	   97950	     62102 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=12-12            	  100160	     60526 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=24-12            	   89470	     66370 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=24-12            	   98010	     62288 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=24-12            	   91660	     65782 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=24-12            	   97957	     62168 ns/op	    6496 B/op	     302 allocs/op
BenchmarkPool_Go/workers=24-12            	   90195	     65665 ns/op	    6496 B/op	     302 allocs/op
BenchmarkResultPool_Go_Ordered/workers=1-12         	  140575	     43045 ns/op	   19624 B/op	     510 allocs/op
BenchmarkResultPool_Go_Ordered/workers=1-12         	  139312	     43141 ns/op	   19624 B/op	     510 allocs/op
BenchmarkResultPool_Go_Ordered/workers=1-12         	  138945	     43119 ns/op	   19624 B/op	     510 allocs/op
BenchmarkResultPool_Go_Ordered/workers=1-12         	  140313	     43141 ns/op	   19624 B/op	     510 allocs/op
BenchmarkResultPool_Go_Ordered/workers=1-12         	  140467	     43271 ns/op	   19624 B/op	     510 allocs/op
BenchmarkResultPool_Go_Ordered/workers=12-12        	   77967	     76687 ns/op	   19627 B/op	     510 allocs/op
